ID, Domain, len, len%, valid_acceptance, invalid_acceptance
293, childsnack, 177, 0.0824022346368715, 1.0, 0.13598028955171812
294, ferry, 10, 0.002730748225013654, 1.0, 0.6603354978354978
295, ferry, 10, 0.002730748225013654, 1.0, 0.6603354978354978
296, ferry, 10, 0.002730748225013654, 1.0, 0.6603354978354978
297, ferry, 10, 0.002730748225013654, 1.0, 0.6603354978354978
298, ferry, 8, 0.002184598580010923, 1.0, 0.6603354978354978
299, ferry, 10, 0.002730748225013654, 0.1111111111111111, 0.05647907647907648
300, ferry, 10, 0.002730748225013654, 1.0, 0.6603354978354978
301, ferry, 10, 0.002730748225013654, 1.0, 0.6603354978354978
302, ferry, 10, 0.002730748225013654, 1.0, 0.6603354978354978
303, ferry, 10, 0.002730748225013654, 0.1111111111111111, 0.05647907647907648
304, ferry, 30, 0.008192244675040962, 1.0, 0.6603354978354978
305, ferry, 50, 0.013653741125068269, 1.0, 0.6603354978354978
306, ferry, 30, 0.008192244675040962, 1.0, 0.6603354978354978
307, ferry, 48, 0.013107591480065538, 1.0, 0.6603354978354978
308, ferry, 40, 0.010922992900054615, 1.0, 0.6603354978354978
309, ferry, 50, 0.013653741125068269, 1.0, 0.6603354978354978
310, ferry, 40, 0.010922992900054615, 1.0, 0.6603354978354978
311, ferry, 48, 0.013107591480065538, 1.0, 0.6603354978354978
312, ferry, 28, 0.007646095030038231, 1.0, 0.6603354978354978
313, ferry, 45, 0.012288367012561441, 1.0, 0.6603354978354978
314, ferry, 100, 0.027307482250136537, 1.0, 0.6603354978354978
315, ferry, 97, 0.026488257782632443, 1.0, 0.6603354978354978
316, ferry, 100, 0.027307482250136537, 1.0, 0.6603354978354978
317, ferry, 100, 0.027307482250136537, 1.0, 0.6603354978354978
318, ferry, 83, 0.022665210267613325, 1.0, 0.6603354978354978
319, ferry, 80, 0.02184598580010923, 1.0, 0.6603354978354978
320, ferry, 97, 0.026488257782632443, 1.0, 0.6603354978354978
321, ferry, 88, 0.02403058438012015, 1.0, 0.6603354978354978
322, ferry, 98, 0.026761332605133806, 1.0, 0.6603354978354978
323, ferry, 88, 0.02403058438012015, 1.0, 0.6603354978354978
324, ferry, 20, 0.005461496450027308, 1.0, 0.6603354978354978
325, ferry, 20, 0.005461496450027308, 1.0, 0.6603354978354978
326, ferry, 20, 0.005461496450027308, 1.0, 0.6603354978354978
327, ferry, 20, 0.005461496450027308, 1.0, 0.6603354978354978
328, ferry, 20, 0.005461496450027308, 1.0, 0.6603354978354978
329, ferry, 20, 0.005461496450027308, 1.0, 0.6603354978354978
330, ferry, 20, 0.005461496450027308, 1.0, 0.6603354978354978
331, ferry, 20, 0.005461496450027308, 1.0, 0.6603354978354978
332, ferry, 20, 0.005461496450027308, 1.0, 0.6603354978354978
333, ferry, 20, 0.005461496450027308, 1.0, 0.6603354978354978
334, ferry, 60, 0.016384489350081924, 1.0, 0.6603354978354978
335, ferry, 68, 0.018569087930092845, 1.0, 0.6603354978354978
336, ferry, 99, 0.027034407427635174, 1.0, 0.6603354978354978
337, ferry, 59, 0.016111414527580557, 1.0, 0.6603354978354978
338, ferry, 75, 0.0204806116876024, 1.0, 0.6603354978354978
339, ferry, 87, 0.023757509557618788, 1.0, 0.6603354978354978
340, ferry, 82, 0.02239213544511196, 1.0, 0.6603354978354978
341, ferry, 55, 0.015019115237575096, 1.0, 0.6603354978354978
342, ferry, 90, 0.024576734025122882, 1.0, 0.6603354978354978
343, ferry, 100, 0.027307482250136537, 1.0, 0.6603354978354978
344, ferry, 183, 0.04997269251774986, 1.0, 0.6603354978354978
345, ferry, 183, 0.04997269251774986, 1.0, 0.6603354978354978
346, ferry, 168, 0.045876570180229385, 1.0, 0.6603354978354978
347, ferry, 174, 0.047515019115237575, 1.0, 0.6603354978354978
348, ferry, 156, 0.042599672310213, 1.0, 0.6603354978354978
